location2,price
洪德,7626.086956521739
派潭镇,1925.0
流花站前,2991.457286432161
海珠广场,3858.9795918367345
淘金,5889.561514195583
温泉镇,2027.391304347826
滘口,3036.0943396226417
滨江东,7730.253846153846
滨江中,4507.1533742331285
滨江西,4837.777777777777
炭步,2500.0
燕塘,3407.912087912088
狮岭镇,3411.3561643835615
环市东,3914.39
珠江新城东,12078.405693950179
珠江新城中,11750.257606490872
珠江新城西,7895.425447316104
琶洲中,5310.754716981132
番禺客运站,3545.483870967742
番禺广场,2555.9574468085107
白云大道南,11585.146551724138
白江,2367.915300546448
盘福,3160.655737704918
知识城,2779.3722358722357
石井,2900.3649635036495
石楼,3090.972222222222
石滩镇,2357.5257731958764
石牌,4365.066666666667
石碁,4616.666666666667
磨碟沙,6400.0
祈福新村,3855.762658227848
神岗镇,1904.1360544217687
福和镇,1522.2222222222222
秀全街,2680.7017543859647
科学城,3818.6233565351895
粤垦,4562.422480620155
罗冲围,3107.2340425531916
良口镇,6800.0
花东镇,2220.1207729468597
花地湾,3404.155844155844
花城街,2111.6774193548385
花山镇,1958.3333333333333
芳村,2633.214285714286
茶滘,3317.948717948718
荔城中区,2504.901960784314
荔城增江,2038.3225806451612
荔城富鹏,897.0588235294117
荔城西区,2392.39263803681
莲花山,3893.5187969924814
菊树,2961.1111111111113
西关,4388.144927536232
西华路,3203.1396648044692
西场,2667.2413793103447
西朗,5944.642857142857
西村,3133.7894736842104
西门口,4756.727272727273
解放北,2576.25
解放南,3235.878504672897
赤坭镇,6000.0
赤岗,3819.0230414746543
赤草,2215.1785714285716
越秀南,3657.9041916167666
车陂,3514.819512195122
进港大道,2541.5671641791046
金山谷,5036.967741935484
金沙洲,4245.978160919541
金洲,2792.1166380789023
金碧,3388.9621848739494
金融城,5922.948387096774
钟村,2531.7985074626868
钟落潭,1400.0
铁路西,2239.282608695652
镜湖大道,2639.1830508474577
长兴,3547.7049180327867
长洲岛,2200.0
陈家祠,3226.2162162162163
雅居乐,7245.858299595142
顺德碧桂园,8204.347826086956
香雪,4168.496907216495
马务,3671.6417910447763
鱼珠,4641.7441860465115
鳌头镇,2020.0
鹤洞,2413.905325443787
麓景,2677.330097087379
黄埔区府,3312.135746606335
黄埔村,45000.0
黄村,6572.248120300752
黄沙,6000.214285714285
黄石,4008.047923322684
黄花岗,3664.2616033755276
黄边,3105.4545454545455
黄阁,3540.24358974359
龙口东,5341.330769230769
龙口西,5257.053435114503
龙归,5491.666666666667
龙洞,7554.054054054054
龙津,3278.9531680440773
龙溪,3764.0
